participant,PF1,PF2,PF3,PF4,PF5,PF6,SM1,SM2,SM3,SM4,SM5,SM6,SS1,SS2,SS3,SS4,SS5,SS6
2,3,5,4,3,5,5,3,5,4,3,3,4,2,3,4,2,2,4
7,5,4,4,3,4,5,4,4,4,5,5,5,3,4,4,4,5,4
3,4,5,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4
8,4,5,5,4,5,5,4,5,5,4,4,4,5,4,4,4,5,4
1,3,5,4,5,5,3,3,5,3,5,3,4,4,4,4,4,5,4
5,5,2,4,1,4,4,2,4,4,4,5,4,5,5,5,5,5,5
6,4,4,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4
12,4,3,4,5,3,4,5,4,4,4,5,5,4,5,4,5,5,4
10,5,5,4,5,5,5,4,5,5,5,5,5,3,4,3,3,3,3
14,5,4,3,5,4,2,3,5,3,4,3,2,4,5,3,5,5,4
13,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5,4
9,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
